name,name_slo,kcal
Grains,Žita,350
Rice,Riž,130
Brown Rice,Rjavi riž,111
Pasta,Testenine,131
Spaghetti,Špageti,158
Couscous,Kuskus,112
Quinoa,Kvinoja,120
Oats,Ovseni kosmiči,389
Buckwheat,Ajda,343
Barley,Ječmen,354
Bread,Kruh,265
Whole Wheat Bread,Polnozrnat kruh,247
Tortilla,Tortilja,218
Rye Bread,Rženi kruh,259
Nori,Nori,35
Wakame,Wakame,45
Kombu,Kombu,43
Tomato,Paradižnik,18
Potato,Krompir,77
Sweet Potato,Sladki krompir,86
Onion,Čebula,40
Red Onion,Rdeča čebula,40
Carrot,Korenje,41
Cucumber,Kumara,16
Bell Pepper,Paprika,31
Spinach,Špinača,23
Broccoli,Brokoli,34
Zucchini,Bučka,17
Eggplant,Jajčevec,25
Cabbage,Zelje,25
Garlic,Česen,149
Leek,Por,61
Celery,Zelena,16
Mushroom,Goba,22
Apple,Jabolko,52
Banana,Banana,89
Orange,Pomaranča,47
Lemon,Limona,29
Lime,Limeta,30
Grapes,Grozdje,69
Berries,Jagodičevje,57
Strawberry,Jagoda,32
Blueberry,Borovnica,57
Pineapple,Ananas,50
Mango,Mango,60
Pear,Hruška,57
Peach,Breskev,39
Milk,Mleko,42
Skim Milk,Posneto mleko,34
Cheese,Sir,402
Mozzarella,Mozzarella,280
Butter,Maslo,717
Yogurt,Jogurt,59
Greek Yogurt,Grški jogurt,59
Cream,Smetana,345
Beef,Govedina,250
Chicken,Piščanec,165
Pork,Svinjina,242
Lamb,Jagnjetina,294
Turkey,Puranje meso,189
Duck,Raca,337
Salmon,Losos,208
Tuna,Tuna,132
Cod,Trska,82
Trout,Postrv,148
Egg,Jajce,155
Egg White,Jajčni beljak,52
Legumes,Stročnice,120
Lentils,Leča,116
Chickpeas,Čičerika,164
Kidney Beans,Rdeči fižol,127
Black Beans,Črni fižol,132
Green Peas,Grahek,81
Soybeans,Soja,173
Nuts,Orehovci,600
Almonds,Mandlji,579
Peanuts,Araščidi,567
Walnuts,Orehi,654
Cashews,Indijski oreščki,553
Olive Oil,Olivno olje,884
Vegetable Oil,Rastlinsko olje,884
Coconut Oil,Kokosovo olje,862
Avocado Oil,Avokadovo olje,884
Condiments,Začimbe in dodatki,150
Salt,Sol,0
Sugar,Sladkor,387
Honey,Med,304
Vinegar,Kis,21
Soy Sauce,Sojina omaka,53
Miso,Miso pasta,199
Mustard,Gorčica,66
Mayonnaise,Majoneza,680
Herbs,Zelišča,20
Basil,Bazilika,22
Parsley,Peteršilj,36
Coriander,Koriander,23
Dill,Koper,43
Black Pepper,Črni poper,251
Cinnamon,Cimet,247
Turmeric,Kurkuma,312
Paprika,Mleta paprika,282
Tofu,Tofu,76
Tempeh,Tempeh,192
Seaweed,Morska trava,35
Hot dog,Hrenovka,300
Soup,Juha,40
Kefir,Kefir,50
Sausage,Klobasa,320
Cereal,Kosmiči,380
Flour,Moka,360
Spread,Namaz,400
Pizza dough,Testo za pico,320
Dough,Testo,360
Pudding,Puding,130
Salami,Salama,130
Cottage cheese,Skuta,100
Semolina,Zdrob,350
Tea,Čaj,350
Chocolate,Čokolada,540
Bun,Štručka,270
Ham,Šunka,150
Roll,Žemlja,270
Beer,Pivo,340
Liquor,Žganje,250
Drink,Pijača,300
